phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss
train,1,1,0.30399133143376333,0.22133470613222855,0.6247827205181723,0.7329653919040261,nan,nan
train,2,2,0.23990417332673558,0.295682715681883,0.7191604643865639,0.7252920201898334,nan,nan
train,3,3,0.2368134716335608,0.25177186727523804,0.7326211561338855,0.6424570222490427,nan,nan
train,4,4,0.23652326422078268,0.217748401256708,0.7333479816408374,0.7735624044858113,nan,nan
train,5,5,0.23321543071342973,0.21789901302411005,0.7419155168159003,0.7700382032136527,nan,nan
train,6,6,0.2260575823637904,0.22522960947110102,0.7600798255648407,0.7648223811627282,nan,nan
train,7,7,0.22429291386993563,0.2105032904789998,0.7638651240660509,0.7566614335412888,nan,nan
train,8,8,0.22078410231945467,0.20944037116490877,0.7675639290399406,0.7850520729892806,nan,nan
train,9,9,0.21906721744002128,0.20841183226842147,0.7725217976834206,0.7676687556515606,nan,nan
train,10,10,0.2180155945979819,0.20367556925003344,0.7777404398412276,0.788842220018767,nan,nan
train,11,11,0.2175439287509237,0.21295482034866625,0.7770591822360838,0.765917674767167,nan,nan
train,12,12,0.21444520886455262,0.21012808726384088,0.7885028717463888,0.7777683156254879,nan,nan
train,13,13,0.2116943758209141,0.21603875435315645,0.7957556940463966,0.7748311803695658,nan,nan
train,14,14,0.21045061672220425,0.21928725219689882,0.7984416643943603,0.7654521876559904,nan,nan
train,15,15,0.21141873832259858,0.20416217469252074,0.7963944962110986,0.7811485193479384,nan,nan
train,16,16,0.2101672139703011,0.2066216881458576,0.8001534489794536,0.7664405647093465,nan,nan
train,17,17,0.20569893596123676,0.2020192169226133,0.8113136445320795,0.7813644772446976,nan,nan
train,18,18,0.20430130161801163,0.21497214642854837,0.8164378231116515,0.7745505512787831,nan,nan
train,19,19,0.2030026239095902,0.2020922853396489,0.8173908305263272,0.7852498922587786,nan,nan
train,20,20,0.2027991862625492,0.20433821013340583,0.8195395577271084,0.7714887751579269,nan,nan
train,21,21,0.2027347744727621,0.19911727423851305,0.8185285975510768,0.7870188647081394,nan,nan
train,22,22,0.20278019336413364,0.2032483288874993,0.8195723408332093,0.7796291703555652,nan,nan
train,23,23,0.2002577164343425,0.2023559957742691,0.8257692667646838,0.7790631866419592,nan,nan
train,24,24,0.19970387494077488,0.20341277007873243,0.8267673017993076,0.7804668833887697,nan,nan
train,25,25,0.20030675159425151,0.20165494886728433,0.8270279672975809,0.7859158005429733,nan,nan
