phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss
train,1,1,0.3069388214118627,0.22389791562007025,0.5493516051972182,0.7372618252797238,nan,nan
train,2,2,0.23391791463506464,0.23615087912632868,0.7302556669223447,0.7507282680118504,nan,nan
train,3,3,0.2164136920960582,0.20428555286847627,0.776580427267563,0.7709055171692557,nan,nan
train,4,4,0.20747417804537988,0.2079027914083921,0.8022177655873586,0.7683894339782396,nan,nan
train,5,5,0.19969674686388095,0.20625458772365862,0.8180692178448252,0.7757286121198695,nan,nan
train,6,6,0.19389524614932585,0.20159908326772544,0.8330103685872726,0.7808237348097352,nan,nan
train,7,7,0.1857292088014739,0.20046046605476966,0.8507899442182759,0.7796168246474596,nan,nan
train,8,8,0.18184038859849072,0.20456030277105477,0.8607319559015689,0.7847012863100374,nan,nan
train,9,9,0.1795056735222437,0.19728039319698626,0.8655248475733427,0.7848808782935129,nan,nan
train,10,10,0.17465053589976565,0.2135339333460881,0.8719177341025687,0.7663670707085096,nan,nan
train,11,11,0.1696188677938617,0.21003653223697955,0.8792332265195695,0.7699489880985245,nan,nan
train,12,12,0.16761376495872224,0.20470366913538712,0.8845174545359789,0.7663094738962252,nan,nan
train,13,13,0.1630723897595795,0.20745162665843964,0.8902177110064201,0.7653213127933288,nan,nan
train,14,14,0.16224286393547543,0.212724102804294,0.8918711242658864,0.7703860253089637,nan,nan
train,15,15,0.15741579158573735,0.21043340747173017,0.8994868996214925,0.7649933932235436,nan,nan
train,16,16,0.15173553789452632,0.20459305552335885,0.9069728280324764,0.7731067315996919,nan,nan
train,17,17,0.14738313199914232,0.20807003745665917,0.9128216959682728,0.771360306328244,nan,nan
train,18,18,0.14391264631127826,0.21234068045249352,0.9184440609421886,0.7728741158949924,nan,nan
train,19,19,0.14207933212117274,0.20913783346231168,0.9213518036720587,0.7786938965721198,nan,nan
train,20,20,0.14062935630885923,0.21281495002599862,0.9218393624510174,0.7690283020790201,nan,nan
train,21,21,0.13865568648491586,0.21383179552279985,0.9254222622957088,0.7703292004432071,nan,nan
train,22,22,0.1340422535277143,0.2160445795609401,0.9301134491642317,0.7660928788610928,nan,nan
train,23,23,0.13166585853513407,0.21674072799774316,0.9329700306829903,0.75912943836381,nan,nan
train,24,24,0.1300897990562478,0.21822824902259386,0.9334112930878423,0.7685455700123239,nan,nan
