phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss
train,1,1,0.3146579312160611,0.24425584952137908,0.6098875058422232,0.6585257081054499,nan,nan
train,2,2,0.2428878062043567,0.2220779782047077,0.7405167758385112,0.7621155125132381,nan,nan
train,3,3,0.2226812651913081,0.21876488318096618,0.7821956221825065,0.7442227223091367,nan,nan
train,4,4,0.21384985701238013,0.20720227959812904,0.7981927885988123,0.7543078354232607,nan,nan
train,5,5,0.20560524713400066,0.2054666497421508,0.8167917984480823,0.7672875460964916,nan,nan
train,6,6,0.20480216919843638,0.2084998356900653,0.8191542184641062,0.7718934949232397,nan,nan
train,7,7,0.20106820835332787,0.20678219647735965,0.8298016829995895,0.761934025215373,nan,nan
train,8,8,0.1964422019426616,0.20307102442091826,0.8374517824389468,0.7609901724298247,nan,nan
train,9,9,0.19422156550940506,0.2194894168297855,0.8418585443493779,0.7604059990314395,nan,nan
train,10,10,0.19190368480144107,0.1971210341672508,0.8466480183483819,0.7764427062176152,nan,nan
train,11,11,0.18828681165504516,0.1979119995875018,0.8532017845551735,0.7887261659933994,nan,nan
train,12,12,0.18720285779777535,0.20118834724535747,0.8537273023784406,0.7759977784953067,nan,nan
train,13,13,0.18602585170075905,0.20141539076457218,0.8605192503265079,0.7668392382202575,nan,nan
train,14,14,0.18198100198060274,0.2066504277136861,0.8670780434031742,0.7843843303171374,nan,nan
train,15,15,0.1823471111853664,0.19694834719507062,0.8674948779262758,0.7841847178482669,nan,nan
train,16,16,0.17720794681535693,0.20347212209385268,0.8731041475756053,0.7804446494457243,nan,nan
train,17,17,0.17487354863587082,0.2008872366681391,0.8753200948995197,0.7784383749288026,nan,nan
train,18,18,0.1662201253858832,0.20186858586206727,0.8908697204626269,0.7874699752116321,nan,nan
train,19,19,0.16082213921187333,0.19828837866685828,0.8980705640246582,0.7913993704255494,nan,nan
train,20,20,0.1601141772698611,0.2059303087999626,0.8993684621807386,0.7884394353642886,nan,nan
train,21,21,0.15779023355690344,0.2033687919682386,0.9026310029428983,0.7947403145848143,nan,nan
train,22,22,0.15451857106456038,0.19831180564907133,0.9084229159065457,0.791576242255811,nan,nan
train,23,23,0.15336152462155692,0.19886776744102946,0.9085959867439811,0.7932353955017084,nan,nan
train,24,24,0.14945249938957242,0.20071745998397164,0.9132802025605811,0.7920981273807574,nan,nan
train,25,25,0.14995778831938394,0.20627098690186227,0.9153499266268184,0.785022821569281,nan,nan
train,26,26,0.14881012833449153,0.20110228171153943,0.9163560625363222,0.7895387551808555,nan,nan
train,27,27,0.1461295308782814,0.20656350194191447,0.9186221007925129,0.7913449841813817,nan,nan
train,28,28,0.13997403977970993,0.2036628028263851,0.925652154648604,0.7913213806431182,nan,nan
train,29,29,0.13699770629957167,0.2058114142594289,0.9310292713966666,0.7910105140762546,nan,nan
train,30,30,0.1339668381141917,0.2167248028729643,0.9336993197876228,0.7921682230031614,nan,nan
train,31,31,0.13359045080973633,0.20677565676825388,0.9336400457956118,0.793130767251574,nan,nan
train,32,32,0.1322457700426101,0.22537899176989282,0.9364448674787886,0.7834253219630263,nan,nan
train,33,33,0.13034969548295652,0.21111072523861515,0.9378656921071764,0.7921240589980384,nan,nan
train,34,34,0.12823216180431143,0.2176579463542724,0.9404487675524124,0.7912871240887137,nan,nan
train,35,35,0.12125669925340585,0.22172161579436186,0.9470010061294359,0.7891714331047662,nan,nan
train,36,36,0.12284823916187244,0.22232983132102052,0.9459114159575872,0.7893433648078959,nan,nan
