phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss
train,1,1,0.29592648878389477,0.2326152345963887,0.495250173719925,0.685337625573261,nan,nan
train,2,2,0.26037088766389965,0.26866315305233,0.5733610057962348,0.7177484263572506,nan,nan
train,3,3,0.2487184134673099,0.2422674149274826,0.6531030961296236,0.724188575069848,nan,nan
train,4,4,0.2408671324350396,0.22521215677261353,0.6769010673265119,0.7165788460689725,nan,nan
train,5,5,0.2350546091186757,0.2302815658705575,0.6965685103494254,0.7157008556708714,nan,nan
train,6,6,0.2318926222470342,0.2382900651012148,0.7094669670141586,0.7458835942461325,nan,nan
train,7,7,0.22646891188864804,0.2378028460911342,0.7301822886415291,0.7419822525932229,nan,nan
train,8,8,0.2227873695748193,0.22102400021893637,0.7440072109263381,0.7369493305074486,nan,nan
train,9,9,0.21966681036413932,0.22766313595431192,0.7543340197743887,0.7495053538487914,nan,nan
train,10,10,0.2157740942677673,0.24665434658527374,0.7704648398138921,0.7600687452945926,nan,nan
train,11,11,0.21110844125553052,0.21221579824175155,0.7840860697760913,0.7528199406823729,nan,nan
train,12,12,0.20626693173330657,0.21343956674848283,0.7967941954341344,0.7673149921254403,nan,nan
train,13,13,0.20293173650089574,0.22331810636179789,0.8054184513265906,0.7642684602546296,nan,nan
train,14,14,0.20344214110958334,0.20751742592879704,0.8058529043340047,0.7581907665273596,nan,nan
train,15,15,0.20021539987349996,0.2225145399570465,0.8146896778426828,0.7696372698319504,nan,nan
train,16,16,0.198039425270898,0.23242602390902384,0.8194195124388801,0.7630213910882412,nan,nan
train,17,17,0.1944417532305328,0.21198586055210658,0.8280639759326162,0.7687613949028548,nan,nan
train,18,18,0.19295722154938444,0.2202103372131075,0.8308769127690893,0.7663844859996706,nan,nan
train,19,19,0.1899902659411333,0.2138668703181403,0.839449018709897,0.7736076421612408,nan,nan
train,20,20,0.18921116268148228,0.2239466905593872,0.8367190781210274,0.7723004840213722,nan,nan
train,21,21,0.18581127147285306,0.22472683659621648,0.8428207419203687,0.781367399466745,nan,nan
train,22,22,0.18558617088259483,0.22228461929730006,0.8461612016199963,0.7837807523787067,nan,nan
train,23,23,0.18234553112059224,0.22725691327026912,0.8517972662446401,0.789745003644794,nan,nan
train,24,24,0.18172174965848728,0.22081834290708816,0.8528217103954704,0.7878493596359862,nan,nan
train,25,25,0.17898215505541587,0.230269655585289,0.8581380422691671,0.7877712509763556,nan,nan
train,26,26,0.17908658604232633,0.23476056328841619,0.8606679550988535,0.7752143970606795,nan,nan
train,27,27,0.17730282338298098,0.2422321949686323,0.8611258188857143,0.7862639517559985,nan,nan
train,28,28,0.17832804303996416,0.2177742315190179,0.8607742915318132,0.7965580458585791,nan,nan
train,29,29,0.17321538438602369,0.22959538442747934,0.8689322218383615,0.7942039899165754,nan,nan
train,30,30,0.17412871183181294,0.22888589756829397,0.868123274263445,0.7917163673780886,nan,nan
train,31,31,0.17314156068831074,0.21831854113510676,0.8687024671437293,0.7955698979173592,nan,nan
train,32,32,0.17318744470878522,0.21927134479795182,0.8689594415905338,0.7972976427345871,nan,nan
train,33,33,0.17229358122056845,0.22621171815054758,0.870426529866272,0.7822746184488243,nan,nan
train,34,34,0.17083942160314444,0.22604581075055258,0.875783205891708,0.7913623783486691,nan,nan
train,35,35,0.1694404634894157,0.23677368887833186,0.8751277051234495,0.7907036741549374,nan,nan
train,36,36,0.1677134751665349,0.22678337139742716,0.8784298075269952,0.794260960053172,nan,nan
train,37,37,0.1659358508732854,0.22421374704156602,0.883205815245908,0.8060405868602752,nan,nan
train,38,38,0.16810923084920767,0.22469299393040792,0.8791108057309565,0.7937298658732637,nan,nan
train,39,39,0.16550294401086107,0.22078302928379603,0.883579821514075,0.8071295429714271,nan,nan
train,40,40,0.16354468525672444,0.23331293676580703,0.8847250218221233,0.8010214748436572,nan,nan
train,41,41,0.1629061910266779,0.23486790486744472,0.886102380739307,0.8030776421415547,nan,nan
train,42,42,0.16482246956046748,0.22953422793320247,0.88415308518388,0.7986101279090883,nan,nan
train,43,43,0.16384511608250288,0.22979099197047098,0.883343441462678,0.8063236673386148,nan,nan
train,44,44,0.159893093060474,0.23234358855656215,0.8904940311978035,0.80547068805215,nan,nan
train,45,45,0.15879475492603926,0.22490690435682023,0.8922885774521255,0.8018013294746975,nan,nan
train,46,46,0.15452225840821557,0.22291923207896097,0.8985126091126028,0.8027597649833731,nan,nan
train,47,47,0.1539437393752896,0.22703405788966588,0.8986884359842687,0.8037041916877622,nan,nan
train,48,48,0.15126301880393708,0.23838517495564052,0.9031958742019768,0.8029440911978951,nan,nan
train,49,49,0.1523807784732507,0.22857349259512766,0.9039621219336911,0.803212932705757,nan,nan
train,50,50,0.15005301304009497,0.23577113449573517,0.9058559383698462,0.811075623176591,nan,nan
train,51,51,0.14808176168981863,0.23074601590633392,0.9082195016399739,0.8085561284381533,nan,nan
train,52,52,0.1481043824127742,0.23670601419040135,0.9087299701664526,0.8072038222762726,nan,nan
train,53,53,0.14718825826231313,0.23600001420293534,0.9092591985183175,0.8054009248485935,nan,nan
train,54,54,0.14764638534005808,0.23006930308682577,0.9088754680862597,0.8077501632216527,nan,nan
train,55,55,0.14656477482343205,0.2362885091985975,0.9101588391241991,0.80884612481271,nan,nan
train,56,56,0.1473013924396768,0.23401300609111786,0.9085988407037412,0.807612656252051,nan,nan
train,57,57,0.14366500611816133,0.23543236085346766,0.9146803212910325,0.8081045245974181,nan,nan
train,58,58,0.142291503597279,0.23512754695756094,0.9161569728473694,0.8095369109806546,nan,nan
train,59,59,0.14074573148878253,0.2334686347416469,0.9190048170302917,0.8063330252100623,nan,nan
train,60,60,0.139353907229949,0.23917706310749054,0.921130321722179,0.8047685441336019,nan,nan
train,61,61,0.1412635989943329,0.23627328446933202,0.9181286386606246,0.8075227222329935,nan,nan
train,62,62,0.14044397886918517,0.2358777799776622,0.9193741872024832,0.8072496247625596,nan,nan
train,63,63,0.139865942299366,0.2350179808480399,0.9185630070872906,0.8080373573087661,nan,nan
train,64,64,0.1387570790794431,0.2389848679304123,0.9206425465252125,0.8078400423142352,nan,nan
train,65,65,0.13893324638507804,0.23876291513442993,0.9200960242190415,0.8059727555359633,nan,nan
